name,aggmiv,max20aggmiv,kalaggmiv,aggoev,max30aggoev,kalaggoev,kernmiv,max30miv,kalkernmiv,kernoev,max40oev,kalkernoev,lat,lon,x,y
Aeugst am Albis ZH,18,0.9,0.9,30,1,1,18,0.6,0.6,30,0.75,0.75,47.26773452758789,8.485282897949219,235731.296875,679205.375
Affoltern am Albis ZH,15,0.75,0.75,18,0.6,0.6,15,0.5,0.5,22,0.55,0.55,47.28193283081055,8.448734283447266,237273.34375,676419.375
Bonstetten ZH,14,0.7,0.7,15,0.5,0.5,14,0.47,0.47,15,0.375,0.38,47.316036224365234,8.462499618530273,241078.453125,677411.3125
Hausen am Albis ZH,15,0.75,0.75,29,0.97,0.97,17,0.57,0.57,29,0.725,0.73,47.24540328979492,8.533475875854492,233298.421875,682886.75
Hedingen ZH,12,0.6,0.6,19,0.63,0.63,12,0.4,0.4,19,0.475,0.48,47.302337646484375,8.45039176940918,239543.75,676515.5
Kappel am Albis ZH,15,0.75,0.75,23,0.77,0.77,23,0.77,0.77,39,0.975,0.98,47.22494888305664,8.51696491241455,231007.453125,681668.125
Knonau ZH,12,0.6,0.6,10,0.33,0.33,18,0.6,0.6,31,0.775,0.78,47.22661209106445,8.459218978881836,231133.8125,677292.5625
Maschwanden ZH,15,0.75,0.75,30,1,1,19,0.63,0.63,41,1.025,1,47.23518753051758,8.429160118103027,232058.140625,675004.1875
Mettmenstetten ZH,14,0.7,0.7,14,0.47,0.47,17,0.57,0.57,28,0.7,0.7,47.2434196472168,8.460614204406738,233003.78125,677373.875
Obfelden ZH,16,0.8,0.8,30,1,1,16,0.53,0.53,32,0.8,0.8,47.262088775634766,8.419060707092285,235038.875,674202.125
Ottenbach ZH,16,0.8,0.8,34,1.13,1,16,0.53,0.53,35,0.875,0.88,47.280799865722656,8.409626960754395,237110.375,673462.5
Rifferswil ZH,14,0.7,0.7,38,1.27,1,17,0.57,0.57,38,0.95,0.95,47.24550247192383,8.494876861572266,233269.484375,679964.625
Stallikon ZH,9,0.45,0.45,13,0.43,0.43,9,0.3,0.3,13,0.325,0.33,47.32014465332031,8.493560791015625,241566.15625,679753.4375
Wettswil am Albis ZH,16,0.8,0.8,14,0.47,0.47,16,0.53,0.53,14,0.35,0.35,47.33665084838867,8.471699714660645,243379.328125,678076.6875
Adlikon ZH,12,0.6,0.6,22,0.73,0.73,23,0.77,0.77,44,1.1,1,47.588687896728516,8.690032005310059,271638.53125,694129.375
Benken  ZH,10,0.5,0.5,23,0.77,0.77,26,0.87,0.87,48,1.2,1,47.653770446777344,8.654661178588867,278832.375,691356.875
Berg am Irchel ZH,16,0.8,0.8,33,1.1,1,25,0.83,0.83,53,1.325,1,47.56057357788086,8.59334659576416,268401.53125,686903.375
Buch am Irchel ZH,11,0.55,0.55,27,0.9,0.9,24,0.8,0.8,46,1.15,1,47.54691696166992,8.627248764038086,266921.09375,689477.6875
Dachsen ZH,10,0.5,0.5,13,0.43,0.43,30,1,1,45,1.125,1,47.659889221191406,8.62591552734375,279479.625,689187.1875
Dorf ZH,11,0.55,0.55,17,0.57,0.57,22,0.73,0.73,43,1.075,1,47.5726318359375,8.650193214416504,269806.65625,691160.5625
Feuerthalen ZH,8,0.4,0.4,8,0.27,0.27,33,1.1,1,56,1.4,1,47.68611526489258,8.649129867553711,282422.34375,690885.9375
Flaach ZH,14,0.7,0.7,27,0.9,0.9,25,0.83,0.83,53,1.325,1,47.583404541015625,8.601950645446777,270949.0625,687513.25
Flurlingen ZH,9,0.45,0.45,8,0.27,0.27,31,1.03,1,45,1.125,1,47.6836051940918,8.63549518585205,282127.5625,689866.5625
Andelfingen ZH,11,0.55,0.55,12,0.4,0.4,22,0.73,0.73,35,0.875,0.88,47.59471893310547,8.67533016204834,272291.46875,693013.0625
Henggart ZH,8,0.4,0.4,9,0.3,0.3,19,0.63,0.63,29,0.725,0.73,47.56039047241211,8.680817604064941,268481.46875,693486.125
Humlikon ZH,9,0.45,0.45,24,0.8,0.8,21,0.7,0.7,51,1.275,1,47.57485580444336,8.675910949707031,270083.9375,693091.5625
Kleinandelfingen ZH,15,0.75,0.75,28,0.93,0.93,26,0.87,0.87,52,1.3,1,47.60911178588867,8.679253578186035,273896.5,693282.8125
Laufen-Uhwiesen ZH,10,0.5,0.5,21,0.7,0.7,30,1,1,50,1.25,1,47.669315338134766,8.650155067443848,280555.53125,690991.75
Marthalen ZH,12,0.6,0.6,19,0.63,0.63,26,0.87,0.87,38,0.95,0.95,47.61931228637695,8.64637565612793,274992.09375,690793.4375
Oberstammheim ZH,14,0.7,0.7,24,0.8,0.8,32,1.07,1,52,1.3,1,47.62563705444336,8.797718048095703,275881.1875,702157.4375
Ossingen ZH,13,0.65,0.65,22,0.73,0.73,24,0.8,0.8,45,1.125,1,47.611328125,8.721844673156738,274194.3125,696480.875
Rheinau ZH,14,0.7,0.7,35,1.17,1,30,1,1,56,1.4,1,47.627403259277344,8.611483573913574,275851.59375,688157.25
Thalheim an der Thur ZH,15,0.75,0.75,26,0.87,0.87,26,0.87,0.87,52,1.3,1,47.582008361816406,8.745246887207031,270963.6875,698294.625
Trüllikon ZH,15,0.75,0.75,31,1.03,1,28,0.93,0.93,53,1.325,1,47.64582824707031,8.682308197021484,277981.96875,693447.8125
Truttikon ZH,14,0.7,0.7,28,0.93,0.93,26,0.87,0.87,54,1.35,1,47.632408142089844,8.729597091674805,276547.25,697025.1875
Unterstammheim ZH,16,0.8,0.8,27,0.9,0.9,32,1.07,1,53,1.325,1,47.64667510986328,8.78773307800293,278207.1875,701366.75
Volken ZH,13,0.65,0.65,20,0.67,0.67,24,0.8,0.8,46,1.15,1,47.57639694213867,8.629024505615234,270200.9375,689561.625
Waltalingen ZH,18,0.9,0.9,34,1.13,1,32,1.07,1,73,1.825,1,47.62934112548828,8.760565757751465,276245.375,699358.1875
Bachenbülach ZH,13,0.65,0.65,26,0.87,0.87,13,0.43,0.43,26,0.65,0.65,47.50111389160156,8.545308113098145,261738.84375,683381.5625
Bassersdorf ZH,11,0.55,0.55,10,0.33,0.33,11,0.37,0.37,10,0.25,0.25,47.44021224975586,8.625916481018066,255056.8125,689556.875
Bülach ZH,14,0.7,0.7,15,0.5,0.5,14,0.47,0.47,18,0.45,0.45,47.53013229370117,8.541260719299316,264960.6875,683031.3125
Dietlikon ZH,10,0.5,0.5,6,0.2,0.2,10,0.33,0.33,6,0.15,0.15,47.42263412475586,8.614006996154785,253089.171875,688687.9375
Eglisau ZH,18,0.9,0.9,23,0.77,0.77,18,0.6,0.6,23,0.575,0.58,47.572471618652344,8.523083686828613,269648.96875,681597.5625
Embrach ZH,10,0.5,0.5,11,0.37,0.37,14,0.47,0.47,27,0.675,0.68,47.51005554199219,8.599586486816406,262791.8125,687456.125
Freienstein-Teufen ZH,13,0.65,0.65,37,1.23,1,18,0.6,0.6,37,0.925,0.93,47.54195022583008,8.585958480834961,266322.71875,686377.6875
Glattfelden ZH,19,0.95,0.95,34,1.13,1,19,0.63,0.63,34,0.85,0.85,47.55803298950195,8.500398635864258,268020,679912.5
Hochfelden ZH,15,0.75,0.75,29,0.97,0.97,15,0.5,0.5,29,0.725,0.73,47.52836990356445,8.505156517028809,264727.1875,680315.375
Höri ZH,17,0.85,0.85,29,0.97,0.97,17,0.57,0.57,29,0.725,0.73,47.50803756713867,8.500877380371094,262462.15625,680023.75
Hüntwangen ZH,23,1.15,1,41,1.37,1,23,0.77,0.77,41,1.025,1,47.593040466308594,8.49821662902832,271910.03125,679695.75
Kloten ZH,9,0.45,0.45,7,0.23,0.23,9,0.3,0.3,7,0.175,0.18,47.45875930786133,8.582079887390137,257069.609375,686220.5
Lufingen ZH,12,0.6,0.6,22,0.73,0.73,12,0.4,0.4,22,0.55,0.55,47.48180389404297,8.594748497009277,259645.78125,687137.875
Nürensdorf ZH,12,0.6,0.6,21,0.7,0.7,16,0.53,0.53,21,0.525,0.53,47.45698547363281,8.650764465332031,256950.296875,691402.1875
Oberembrach ZH,10,0.5,0.5,31,1.03,1,15,0.5,0.5,31,0.775,0.78,47.48957443237305,8.633522033691406,260553.3125,690046.9375
Opfikon ZH,8,0.4,0.4,3,0.1,0.1,8,0.27,0.27,3,0.075,0.08,47.428741455078125,8.573183059692383,253722.890625,685597.9375
Rafz ZH,21,1.05,1,24,0.8,0.8,23,0.77,0.77,29,0.725,0.73,47.61318588256836,8.546606063842773,274200.15625,683303.4375
Rorbas ZH,13,0.65,0.65,17,0.57,0.57,18,0.6,0.6,33,0.825,0.83,47.53425216674805,8.570784568786621,265450.34375,685247.75
Wallisellen ZH,7,0.35,0.35,3,0.1,0.1,7,0.23,0.23,3,0.075,0.08,47.41989517211914,8.591280937194824,252759.421875,686977.6875
Wasterkingen ZH,23,1.15,1,40,1.33,1,23,0.77,0.77,40,1,1,47.59733200073242,8.46835994720459,272357.125,677443.9375
Wil  ZH,21,1.05,1,39,1.3,1,21,0.7,0.7,39,0.975,0.98,47.6099967956543,8.501654624938965,273798.90625,679928.8125
Winkel ZH,14,0.7,0.7,31,1.03,1,14,0.47,0.47,31,0.775,0.78,47.48832321166992,8.556142807006836,260328.203125,684218.0625
Bachs ZH,20,1,1,32,1.07,1,20,0.67,0.67,32,0.8,0.8,47.52876281738281,8.42572021484375,264692.6875,674333.1875
Boppelsen ZH,14,0.7,0.7,13,0.43,0.43,14,0.47,0.47,13,0.325,0.33,47.46996307373047,8.407186508178711,258137.9375,673018.3125
Buchs  ZH,11,0.55,0.55,10,0.33,0.33,11,0.37,0.37,10,0.25,0.25,47.45866775512695,8.44062328338623,256913.6875,675554.9375
Dällikon ZH,8,0.4,0.4,27,0.9,0.9,8,0.27,0.27,27,0.675,0.68,47.439002990722656,8.432361602783203,254719.734375,674959.6875
Dänikon ZH,11,0.55,0.55,31,1.03,1,11,0.37,0.37,31,0.775,0.78,47.443485260009766,8.404417037963867,255191.734375,672845.75
Dielsdorf ZH,14,0.7,0.7,15,0.5,0.5,14,0.47,0.47,15,0.375,0.38,47.47563171386719,8.455178260803223,258813.953125,676627.9375
Hüttikon ZH,13,0.65,0.65,34,1.13,1,13,0.43,0.43,34,0.85,0.85,47.44281768798828,8.387600898742676,255101.875,671578.3125
Neerach ZH,17,0.85,0.85,26,0.87,0.87,17,0.57,0.57,26,0.65,0.65,47.510780334472656,8.472110748291016,262738.375,677852.75
Niederglatt ZH,14,0.7,0.7,12,0.4,0.4,14,0.47,0.47,12,0.3,0.3,47.49192810058594,8.500809669494629,260671.421875,680042.9375
Niederhasli ZH,12,0.6,0.6,12,0.4,0.4,12,0.4,0.4,12,0.3,0.3,47.469181060791016,8.486856460571289,258128,679025.25
Niederweningen ZH,16,0.8,0.8,25,0.83,0.83,20,0.67,0.67,25,0.625,0.63,47.504878997802734,8.373117446899414,261988.6875,670403.8125
Oberglatt ZH,10,0.5,0.5,9,0.3,0.3,10,0.33,0.33,9,0.225,0.23,47.480186462402344,8.5212984085083,259386.796875,681604.8125
Oberweningen ZH,18,0.9,0.9,22,0.73,0.73,20,0.67,0.67,22,0.55,0.55,47.507720947265625,8.404427528381348,262333.375,672758.6875
Otelfingen ZH,13,0.65,0.65,12,0.4,0.4,13,0.43,0.43,15,0.375,0.38,47.46575164794922,8.384984970092773,257649.140625,671350.3125
Regensberg ZH,15,0.75,0.75,26,0.87,0.87,15,0.5,0.5,26,0.65,0.65,47.47707748413086,8.426742553710938,258947.25,674482.5
Regensdorf ZH,9,0.45,0.45,6,0.2,0.2,9,0.3,0.3,6,0.15,0.15,47.439762115478516,8.47520637512207,254845.71875,678190.3125
Rümlang ZH,8,0.4,0.4,6,0.2,0.2,8,0.27,0.27,6,0.15,0.15,47.449981689453125,8.526459693908691,256034.359375,682040.375
Schleinikon ZH,18,0.9,0.9,35,1.17,1,20,0.67,0.67,35,0.875,0.88,47.50361633300781,8.393505096435547,261866.71875,671941.375
Schöfflisdorf ZH,16,0.8,0.8,22,0.73,0.73,16,0.53,0.53,22,0.55,0.55,47.504859924316406,8.421467781066895,262031.09375,674046.25
Stadel ZH,20,1,1,33,1.1,1,20,0.67,0.67,33,0.825,0.83,47.53749084472656,8.468381881713867,265704,677532.875
Steinmaur ZH,15,0.75,0.75,19,0.63,0.63,15,0.5,0.5,19,0.475,0.48,47.49998092651367,8.447754859924316,261513.8125,676033.625
Weiach ZH,20,1,1,43,1.43,1,20,0.67,0.67,43,1.075,1,47.554901123046875,8.43529987335205,267607.5,675017.6875
Bäretswil ZH,8,0.4,0.4,19,0.63,0.63,24,0.8,0.8,39,0.975,0.98,47.34058380126953,8.866958618164062,244284.78125,707938.375
Bubikon ZH,8,0.4,0.4,3,0.1,0.1,24,0.8,0.8,22,0.55,0.55,47.26995086669922,8.805590629577637,236350.5625,703438.125
Dürnten ZH,8,0.4,0.4,3,0.1,0.1,24,0.8,0.8,33,0.825,0.83,47.27482604980469,8.857361793518066,236961.78125,707345.4375
Fischenthal ZH,18,0.9,0.9,18,0.6,0.6,34,1.13,1,46,1.15,1,47.341739654541016,8.939610481262207,244516.03125,713425.5625
Gossau  ZH,10,0.5,0.5,8,0.27,0.27,20,0.67,0.67,31,0.775,0.78,47.301910400390625,8.767134666442871,239853.15625,700468.3125
Grüningen ZH,11,0.55,0.55,14,0.47,0.47,18,0.6,0.6,36,0.9,0.9,47.279354095458984,8.762040138244629,237339.421875,700125.3125
Hinwil ZH,8,0.4,0.4,5,0.17,0.17,22,0.73,0.73,25,0.625,0.63,47.30291748046875,8.850415229797363,240074.984375,706763.75
Rüti  ZH,0,0,0,0,0,0,23,0.77,0.77,25,0.625,0.63,47.258052825927734,8.860696792602539,235102.078125,707631.5625
Seegräben ZH,6,0.3,0.3,4,0.13,0.13,15,0.5,0.5,20,0.5,0.5,47.34191131591797,8.768531799316406,244301.671875,700498.625
Wald  ZH,8,0.4,0.4,10,0.33,0.33,26,0.87,0.87,40,1,1,47.28376388549805,8.916248321533203,238037.703125,711781.75
Wetzikon  ZH,0,0,0,0,0,0,20,0.67,0.67,17,0.425,0.43,47.322391510009766,8.806364059448242,242180.78125,703395
Adliswil ZH,6,0.3,0.3,8,0.27,0.27,6,0.2,0.2,8,0.2,0.2,47.30821990966797,8.525233268737793,240273.3125,682166.0625
Hirzel ZH,15,0.75,0.75,35,1.17,1,15,0.5,0.5,35,0.875,0.88,47.2192497253418,8.600316047668457,230463.78125,687989.6875
Horgen ZH,15,0.75,0.75,12,0.4,0.4,15,0.5,0.5,12,0.3,0.3,47.246978759765625,8.58919620513916,233534.1875,687102.3125
Hütten ZH,14,0.7,0.7,39,1.3,1,18,0.6,0.6,39,0.975,0.98,47.17353057861328,8.658782005310059,225448.84375,692496.8125
Kilchberg  ZH,7,0.35,0.35,3,0.1,0.1,7,0.23,0.23,3,0.075,0.08,47.322505950927734,8.543338775634766,241880.390625,683512.75
Langnau am Albis ZH,10,0.5,0.5,14,0.47,0.47,10,0.33,0.33,14,0.35,0.35,47.280479431152344,8.5287446975708,237193.078125,682474.4375
Oberrieden ZH,12,0.6,0.6,12,0.4,0.4,12,0.4,0.4,12,0.3,0.3,47.27285385131836,8.569198608398438,236388.5625,685547.0625
Richterswil ZH,13,0.65,0.65,13,0.43,0.43,16,0.53,0.53,24,0.6,0.6,47.20123291015625,8.686896324157715,228561.984375,694578.875
Rüschlikon ZH,8,0.4,0.4,5,0.17,0.17,8,0.27,0.27,5,0.125,0.13,47.30461502075195,8.547606468200684,239896.109375,683863.4375
Schönenberg  ZH,15,0.75,0.75,35,1.17,1,17,0.57,0.57,35,0.875,0.88,47.192535400390625,8.64072036743164,227540.40625,691095.3125
Thalwil ZH,12,0.6,0.6,8,0.27,0.27,12,0.4,0.4,8,0.2,0.2,47.28746795654297,8.560379028320312,238003.515625,684856.5
Wädenswil ZH,18,0.9,0.9,17,0.57,0.57,18,0.6,0.6,18,0.45,0.45,47.226139068603516,8.649985313415527,231286.78125,691739.6875
Erlenbach  ZH,12,0.6,0.6,9,0.3,0.3,12,0.4,0.4,9,0.225,0.23,47.30418395996094,8.599449157714844,239904.65625,687784.375
Herrliberg ZH,15,0.75,0.75,13,0.43,0.43,15,0.5,0.5,13,0.325,0.33,47.296783447265625,8.62922191619873,239116.03125,690048.125
Hombrechtikon ZH,9,0.45,0.45,19,0.63,0.63,22,0.73,0.73,39,0.975,0.98,47.252037048339844,8.76843547821045,234310.953125,700660.625
Küsnacht  ZH,10,0.5,0.5,6,0.2,0.2,10,0.33,0.33,6,0.15,0.15,47.32124328613281,8.616445541381836,241820.484375,689041.0625
Männedorf ZH,13,0.65,0.65,19,0.63,0.63,21,0.7,0.7,19,0.475,0.48,47.259647369384766,8.69699764251709,235067.828125,695240
Meilen ZH,18,0.9,0.9,12,0.4,0.4,18,0.6,0.6,12,0.3,0.3,47.28145980834961,8.646038055419922,237431.984375,691346.125
Oetwil am See ZH,12,0.6,0.6,22,0.73,0.73,17,0.57,0.57,34,0.85,0.85,47.27459716796875,8.718210220336914,236755.609375,696818.1875
Stäfa ZH,11,0.55,0.55,14,0.47,0.47,25,0.83,0.83,23,0.575,0.58,47.2492561340332,8.728802680969238,233951.765625,697665.9375
Uetikon am See ZH,16,0.8,0.8,17,0.57,0.57,19,0.63,0.63,17,0.425,0.43,47.27107238769531,8.683749198913574,236321.78125,694217.25
Zumikon ZH,10,0.5,0.5,8,0.27,0.27,10,0.33,0.33,8,0.2,0.2,47.33589553833008,8.62583065032959,243460.203125,689725.875
Zollikon ZH,9,0.45,0.45,3,0.1,0.1,9,0.3,0.3,3,0.075,0.08,47.342185974121094,8.590126037597656,244119,687017.375
Bauma ZH,14,0.7,0.7,21,0.7,0.7,29,0.97,0.97,50,1.25,1,47.374732971191406,8.893587112426758,248118.078125,709880.0625
Fehraltorf ZH,5,0.25,0.25,4,0.13,0.13,15,0.5,0.5,22,0.55,0.55,47.38483428955078,8.751296043395996,249051.484375,699116.375
Hittnau ZH,6,0.3,0.3,11,0.37,0.37,21,0.7,0.7,40,1,1,47.366172790527344,8.831388473510742,247081.265625,705200.125
Illnau-Effretikon ZH,15,0.75,0.75,10,0.33,0.33,16,0.53,0.53,15,0.375,0.38,47.42750930786133,8.713881492614746,253748.765625,696214.4375
Kyburg ZH,7,0.35,0.35,3,0.1,0.1,17,0.57,0.57,36,0.9,0.9,47.45397186279297,8.74968147277832,256735.421875,698866
Lindau ZH,9,0.45,0.45,20,0.67,0.67,13,0.43,0.43,24,0.6,0.6,47.441349029541016,8.674779891967773,255240.171875,693240.375
Pfäffikon ZH,0,0,0,0,0,0,17,0.57,0.57,26,0.65,0.65,47.37024688720703,8.781826972961426,247468.796875,701449.1875
Russikon ZH,8,0.4,0.4,9,0.3,0.3,19,0.63,0.63,37,0.925,0.93,47.40281295776367,8.786605834960938,251095.03125,701747.9375
Sternenberg ZH,16,0.8,0.8,50,1.67,1,30,1,1,72,1.8,1,47.38703918457031,8.9110746383667,249510.40625,711174.875
Weisslingen ZH,8,0.4,0.4,18,0.6,0.6,18,0.6,0.6,36,0.9,0.9,47.432674407958984,8.774450302124023,254399.234375,700773.9375
Wila ZH,12,0.6,0.6,20,0.67,0.67,26,0.87,0.87,51,1.275,1,47.41173553466797,8.845776557922363,252165.703125,706196
Wildberg ZH,14,0.7,0.7,21,0.7,0.7,25,0.83,0.83,44,1.1,1,47.41844940185547,8.817822456359863,252874.1875,704073.4375
Dübendorf ZH,8,0.4,0.4,4,0.13,0.13,8,0.27,0.27,4,0.1,0.1,47.38813018798828,8.616628646850586,249256.453125,688943.25
Egg ZH,15,0.75,0.75,19,0.63,0.63,15,0.5,0.5,19,0.475,0.48,47.29806137084961,8.696171760559082,239337.09375,695109.0625
Fällanden ZH,7,0.35,0.35,8,0.27,0.27,7,0.23,0.23,8,0.2,0.2,47.3702278137207,8.63597583770752,247288.109375,690434.3125
Greifensee ZH,13,0.65,0.65,11,0.37,0.37,13,0.43,0.43,13,0.325,0.33,47.34754943847656,8.678940773010254,244817.703125,693719
Maur ZH,13,0.65,0.65,10,0.33,0.33,13,0.43,0.43,10,0.25,0.25,47.334861755371094,8.6650972366333,243390.53125,692695.125
Mönchaltorf ZH,10,0.5,0.5,15,0.5,0.5,15,0.5,0.5,29,0.725,0.73,47.31095886230469,8.719182014465332,240798.84375,696825.8125
Schwerzenbach ZH,10,0.5,0.5,9,0.3,0.3,10,0.33,0.33,9,0.225,0.23,47.38298034667969,8.653512954711914,248726.390625,691736.8125
Uster ZH,9,0.45,0.45,5,0.17,0.17,13,0.43,0.43,11,0.275,0.28,47.35183334350586,8.722702026367188,245347.078125,697017.5
Volketswil ZH,11,0.55,0.55,18,0.6,0.6,11,0.37,0.37,18,0.45,0.45,47.394866943359375,8.681957244873047,250081.234375,693863.5625
Wangen-Brüttisellen ZH,8,0.4,0.4,6,0.2,0.2,8,0.27,0.27,6,0.15,0.15,47.41309356689453,8.649020195007324,252068.90625,691346
Altikon ZH,12,0.6,0.6,22,0.73,0.73,26,0.87,0.87,46,1.15,1,47.578216552734375,8.784475326538086,270591.9375,701252.5625
Bertschikon ZH,11,0.55,0.55,13,0.43,0.43,25,0.83,0.83,42,1.05,1,47.52666091918945,8.813969612121582,264898.84375,703571.8125
Brütten ZH,9,0.45,0.45,16,0.53,0.53,15,0.5,0.5,33,0.825,0.83,47.4752311706543,8.67517375946045,259007.546875,693210.6875
Dägerlen ZH,11,0.55,0.55,21,0.7,0.7,23,0.77,0.77,40,1,1,47.562744140625,8.725372314453125,268797.375,696834.75
Dättlikon ZH,7,0.35,0.35,11,0.37,0.37,19,0.63,0.63,53,1.325,1,47.528690338134766,8.619364738464355,264886.125,688914.6875
Dinhard ZH,10,0.5,0.5,11,0.37,0.37,25,0.83,0.83,36,0.9,0.9,47.55912780761719,8.765152931213379,268445.03125,699834.9375
Elgg ZH,10,0.5,0.5,11,0.37,0.37,29,0.97,0.97,28,0.7,0.7,47.48835754394531,8.867376327514648,260712.625,707670.75
Ellikon an der Thur ZH,9,0.45,0.45,18,0.6,0.6,25,0.83,0.83,41,1.025,1,47.56245803833008,8.827200889587402,268896.375,704497.6875
Elsau ZH,6,0.3,0.3,5,0.17,0.17,25,0.83,0.83,33,0.825,0.83,47.50224304199219,8.804800033569336,262172.53125,702928.625
Hagenbuch ZH,10,0.5,0.5,16,0.53,0.53,30,1,1,52,1.3,1,47.515377044677734,8.874443054199219,263726.125,708148.3125
Hettlingen ZH,6,0.3,0.3,10,0.33,0.33,19,0.63,0.63,31,0.775,0.78,47.5481071472168,8.710712432861328,267152.15625,695757.9375
Hofstetten bei Elgg ZH,11,0.55,0.55,20,0.67,0.67,28,0.93,0.93,48,1.2,1,,,,
Neftenbach ZH,5,0.25,0.25,15,0.5,0.5,18,0.6,0.6,36,0.9,0.9,47.53900146484375,8.673277854919434,266094.6875,692956.25
Pfungen ZH,7,0.35,0.35,3,0.1,0.1,19,0.63,0.63,35,0.875,0.88,47.509727478027344,8.642356872558594,262803.9375,690678.3125
Rickenbach  ZH,8,0.4,0.4,6,0.2,0.2,22,0.73,0.73,31,0.775,0.78,47.55046081542969,8.797584533691406,267523.5625,702292.1875
Schlatt ZH,8,0.4,0.4,11,0.37,0.37,26,0.87,0.87,50,1.25,1,47.47147750854492,8.81991958618164,258772.046875,704127.8125
Seuzach ZH,5,0.25,0.25,8,0.27,0.27,20,0.67,0.67,30,0.75,0.75,47.53483581542969,8.724340438842773,265693.5625,696807.9375
Turbenthal ZH,11,0.55,0.55,17,0.57,0.57,26,0.87,0.87,49,1.225,1,47.432830810546875,8.876039505004883,254551.8125,708436.6875
Wiesendangen ZH,7,0.35,0.35,7,0.23,0.23,22,0.73,0.73,29,0.725,0.73,47.532196044921875,8.813036918640137,265513.1875,703490.8125
Winterthur ZH,0,0,0,0,0,0,16,0.53,0.53,17,0.425,0.43,47.499027252197266,8.720224380493164,261707.578125,696563.0625
Zell  ZH,8,0.4,0.4,9,0.3,0.3,23,0.77,0.77,42,1.05,1,47.449058532714844,8.814920425415039,256273.46875,703794.75
Aesch bei Birmensdorf ZH,10,0.5,0.5,16,0.53,0.53,10,0.33,0.33,16,0.4,0.4,,,,
Birmensdorf  ZH,7,0.35,0.35,9,0.3,0.3,7,0.23,0.23,9,0.225,0.23,47.351959228515625,8.439570426940918,245049.53125,675626.875
Dietikon ZH,11,0.55,0.55,7,0.23,0.23,11,0.37,0.37,7,0.175,0.18,47.401405334472656,8.3890380859375,250499.109375,671742.5
Geroldswil ZH,10,0.5,0.5,25,0.83,0.83,10,0.33,0.33,25,0.625,0.63,47.420013427734375,8.411513328552246,252588.703125,673413.3125
Oberengstringen ZH,6,0.3,0.3,15,0.5,0.5,6,0.2,0.2,15,0.375,0.38,47.41212463378906,8.463095664978027,251761.1875,677316.875
Oetwil an der Limmat ZH,11,0.55,0.55,26,0.87,0.87,11,0.37,0.37,26,0.65,0.65,47.42949676513672,8.392874717712402,253625.640625,671994.0625
Schlieren ZH,6,0.3,0.3,3,0.1,0.1,6,0.2,0.2,3,0.075,0.08,47.39460372924805,8.445526123046875,249796.171875,676016
Uitikon ZH,5,0.25,0.25,7,0.23,0.23,5,0.17,0.17,7,0.175,0.18,47.36658477783203,8.454275131225586,246689.640625,676716.75
Unterengstringen ZH,8,0.4,0.4,18,0.6,0.6,8,0.27,0.27,18,0.45,0.45,47.41072463989258,8.444159507751465,251587.046875,675889.875
Urdorf ZH,11,0.55,0.55,4,0.13,0.13,11,0.37,0.37,4,0.1,0.1,47.38087463378906,8.42744255065918,248252.5,674670.125
Weiningen  ZH,8,0.4,0.4,23,0.77,0.77,8,0.27,0.27,23,0.575,0.58,47.419593811035156,8.434037208557129,252563.484375,675113.5
Zürich ZH,0,0,0,0,0,0,0,0,0,0,0,0,47.37721252441406,8.527300834655762,247945.3125,682216
Aarberg BE,5,0.25,0.25,6,0.2,0.2,18,0.6,0.6,33,0.825,0.83,47.04423904418945,7.283201217651367,210368.203125,588188.25
Bargen  BE,8,0.4,0.4,7,0.23,0.23,20,0.67,0.67,33,0.825,0.83,47.03523254394531,7.246327877044678,209373.09375,585383.6875
Grossaffoltern BE,9,0.45,0.45,4,0.13,0.13,21,0.7,0.7,26,0.65,0.65,47.06953811645508,7.358811855316162,213172.21875,593937.125
Kallnach BE,10,0.5,0.5,12,0.4,0.4,19,0.63,0.63,40,1,1,47.013126373291016,7.22499418258667,206919.875,583755.4375
Kappelen BE,7,0.35,0.35,21,0.7,0.7,22,0.73,0.73,46,1.15,1,47.07316970825195,7.2772393226623535,213585.46875,587741.875
Lyss BE,0,0,0,0,0,0,20,0.67,0.67,22,0.55,0.55,47.082359313964844,7.318419456481934,214601.546875,590871.1875
Meikirch BE,13,0.65,0.65,15,0.5,0.5,13,0.43,0.43,15,0.375,0.38,47.003597259521484,7.357136249542236,205841.265625,593802.125
Niederried bei Kallnach BE,11,0.55,0.55,12,0.4,0.4,21,0.7,0.7,41,1.025,1,47.011775970458984,7.250556945800781,206764.90625,585698.8125
Radelfingen BE,13,0.65,0.65,25,0.83,0.83,18,0.6,0.6,30,0.75,0.75,46.999759674072266,7.262248516082764,205426.953125,586584.8125
Rapperswil  BE,13,0.65,0.65,29,0.97,0.97,16,0.53,0.53,29,0.725,0.73,47.066287994384766,7.412951946258545,212808,598049.375
Schüpfen BE,10,0.5,0.5,8,0.27,0.27,16,0.53,0.53,20,0.5,0.5,47.03547286987305,7.380946636199951,209383.453125,595615.5625
Seedorf  BE,10,0.5,0.5,21,0.7,0.7,17,0.57,0.57,26,0.65,0.65,47.02421188354492,7.314454555511475,208137.34375,590559.75
Aarwangen BE,6,0.3,0.3,8,0.27,0.27,32,1.07,1,57,1.425,1,47.23540115356445,7.766101360321045,231660.34375,624797.125
