name,aggmiv,max20aggmiv,kalaggmiv,aggoev,max30aggoev,kalaggoev,kernmiv,max30miv,kalkernmiv,kernoev,max40oev,kalkernoev,lat,lon,x,y
Rossens VD,21,1.05,1,36,1.2,1,27,0.9,0.9,45,1.125,1,46.735107421875,6.922065258026123,176120.703125,560517.625
Sassel VD,26,1.3,1,47,1.57,1,28,0.93,0.93,81,2.025,1,46.77668762207031,6.856957912445068,180777.875,555575.75
Sédeilles VD,21,1.05,1,37,1.23,1,29,0.97,0.97,47,1.175,1,46.749412536621094,6.9325079917907715,177706,561326
Seigneux VD,22,1.1,1,42,1.4,1,22,0.73,0.73,42,1.05,1,46.72801971435547,6.878588676452637,175356,557189
Trey VD,21,1.05,1,44,1.47,1,28,0.93,0.93,76,1.9,1,46.77353286743164,6.921833515167236,180392.421875,560528.0625
Treytorrens (Payerne) VD,18,0.9,0.9,55,1.83,1,27,0.9,0.9,77,1.925,1,46.77359390258789,6.801079750061035,180467.1875,551305.5
Villars-Bramard VD,20,1,1,37,1.23,1,24,0.8,0.8,56,1.4,1,46.71864318847656,6.898831844329834,174302.734375,558729.1875
Villarzel VD,23,1.15,1,43,1.43,1,27,0.9,0.9,61,1.525,1,46.73828887939453,6.916688919067383,176477.0625,560109.0625
Château-d'Oex VD,25,1.25,1,73,2.43,1,53,1.77,1,106,2.65,1,46.45368194580078,7.139138221740723,144749.453125,576988.8125
Rossini�re VD,20,1,1,48,1.6,1,48,1.6,1,80,2,1,46.58308029174805,6.151467323303223,159901.203125,501345.59375
Rougemont VD,29,1.45,1,67,2.23,1,57,1.9,1,98,2.45,1,46.4965934753418,7.211402893066406,149501.09375,582554.875
Allaman VD,17,0.85,0.85,20,0.67,0.67,17,0.57,0.57,20,0.5,0.5,46.47011947631836,6.393006324768066,147069.21875,519689.3125
Bursinel VD,22,1.1,1,40,1.33,1,22,0.73,0.73,40,1,1,46.4400749206543,6.308945178985596,143819.375,513185.25
Bursins VD,22,1.1,1,35,1.17,1,22,0.73,0.73,35,0.875,0.88,46.45283508300781,6.285281658172607,145263.90625,511387.71875
Burtigny VD,24,1.2,1,49,1.63,1,24,0.8,0.8,49,1.225,1,46.472999572753906,6.265709400177002,147527.65625,509917.71875
Dully VD,23,1.15,1,36,1.2,1,23,0.77,0.77,36,0.9,0.9,46.431419372558594,6.294638633728027,142873.234375,512071.84375
Essertines-sur-Rolle VD,22,1.1,1,38,1.27,1,22,0.73,0.73,38,0.95,0.95,46.480995178222656,6.303863048553467,148373.328125,512860.59375
Gilly VD,19,0.95,0.95,38,1.27,1,19,0.63,0.63,38,0.95,0.95,46.46267318725586,6.300276279449463,146340.953125,512555.59375
Luins VD,21,1.05,1,32,1.07,1,21,0.7,0.7,32,0.8,0.8,46.444252014160156,6.271407127380371,144325.890625,510307.65625
Mont-sur-Rolle VD,18,0.9,0.9,34,1.13,1,18,0.6,0.6,34,0.85,0.85,46.47660446166992,6.334555149078369,147851.6875,515210.40625
Perroy VD,18,0.9,0.9,35,1.17,1,18,0.6,0.6,35,0.875,0.88,46.47087478637695,6.35837984085083,147189.1875,517031.15625
Rolle VD,18,0.9,0.9,23,0.77,0.77,18,0.6,0.6,23,0.575,0.58,46.455814361572266,6.328989028930664,145546.890625,514750.21875
Tartegnin VD,18,0.9,0.9,35,1.17,1,18,0.6,0.6,35,0.875,0.88,46.470359802246094,6.311248779296875,147183.125,513410.6875
Vinzel VD,23,1.15,1,33,1.1,1,23,0.77,0.77,33,0.825,0.83,46.4503059387207,6.276534080505371,144993.078125,510711.5625
L'Abbaye VD,37,1.85,1,69,2.3,1,39,1.3,1,69,1.725,1,46.6356315612793,6.3209733963012695,165542.859375,514419.65625
Le Chenit VD,40,2,1,79,2.63,1,41,1.37,1,79,1.975,1,46.58415222167969,6.2095441818237305,159948.6875,505798.34375
Le Lieu VD,32,1.6,1,62,2.07,1,35,1.17,1,62,1.55,1,46.66327667236328,6.283529281616211,168657.5,511598.03125
Blonay VD,8,0.4,0.4,34,1.13,1,19,0.63,0.63,54,1.35,1,46.475677490234375,6.908421039581299,147288.828125,559279.375
Chardonne VD,8,0.4,0.4,19,0.63,0.63,19,0.63,0.63,41,1.025,1,46.490726470947266,6.8265299797058105,149007.4375,553003.375
Corseaux VD,5,0.25,0.25,7,0.23,0.23,19,0.63,0.63,14,0.35,0.35,46.47068786621094,6.826886177062988,146779.875,553013.3125
Corsier-sur-Vevey VD,5,0.25,0.25,17,0.57,0.57,18,0.6,0.6,38,0.95,0.95,46.49385070800781,6.871669292449951,149328.6875,556471.5
Jongny VD,12,0.6,0.6,13,0.43,0.43,21,0.7,0.7,30,0.75,0.75,46.49016571044922,6.849673271179199,148931.546875,554779.75
Montreux VD,0,0,0,0,0,0,22,0.73,0.73,20,0.5,0.5,46.453704833984375,6.936711311340332,144831.6875,561436.3125
Saint-Légier-La Chiésaz VD,7,0.35,0.35,10,0.33,0.33,17,0.57,0.57,29,0.725,0.73,46.48820114135742,6.888745307922363,148691.265625,557778.0625
La Tour-de-Peilz VD,6,0.3,0.3,3,0.1,0.1,22,0.73,0.73,20,0.5,0.5,46.45503234863281,6.867544174194336,145015.734375,556123.3125
Vevey VD,0,0,0,0,0,0,19,0.63,0.63,14,0.35,0.35,46.46729278564453,6.846450328826904,146390.796875,554513.0625
Veytaux VD,6,0.3,0.3,38,1.27,1,25,0.83,0.83,68,1.7,1,46.427757263183594,6.957880020141602,141937.0625,563045
Arrissoules VD,15,0.75,0.75,31,1.03,1,31,1.03,1,59,1.475,1,46.79875564575195,6.779685020446777,183278,549695
Belmont-sur-Yverdon VD,10,0.5,0.5,15,0.5,0.5,22,0.73,0.73,40,1,1,46.738094329833984,6.6261396408081055,176644.75,537903.625
Bioley-Magnoux VD,15,0.75,0.75,52,1.73,1,21,0.7,0.7,52,1.3,1,46.727134704589844,6.7171783447265625,175358.28125,544849.9375
Chamblon VD,8,0.4,0.4,13,0.43,0.43,27,0.9,0.9,45,1.125,1,46.77655792236328,6.596597194671631,180944.328125,535691.875
Champvent VD,12,0.6,0.6,9,0.3,0.3,26,0.87,0.87,36,0.9,0.9,46.7854118347168,6.570138931274414,181950.5,533682.125
Chanéaz VD,18,0.9,0.9,32,1.07,1,22,0.73,0.73,50,1.25,1,46.72970199584961,6.7426557540893555,175626,546800
Chavannes-le-Chêne VD,16,0.8,0.8,35,1.17,1,28,0.93,0.93,65,1.625,1,46.78023147583008,6.780441761016846,181218.125,549735.5
Chêne-Pâquier VD,18,0.9,0.9,46,1.53,1,26,0.87,0.87,74,1.85,1,46.76603698730469,6.770733833312988,179646.515625,548980.6875
