Name,Y-Koord.,X-Koord.,Höhe,Verkehrsmittel
Acquarossa-Comprovasco,715.225,145.97,538,Bus
"Acquarossa, Casa Anziani",715.253,145.589,523,Bus
"Acquarossa, Ospedale",715.374,145.526,513,Bus
"Acquarossa, Scuole",715,146.375,608,Bus
Adelboden Bergläger (Silleren),607.263,146.388,1486,Luftseilbahn
Adelboden Dorf (Silleren),609.06,148.79,1351,Luftseilbahn
Adelboden Geils (Hahnenmoos),605.692,145.072,1707,Luftseilbahn
Adelboden Geils (Laveygrat),605.76,145.13,1712,Luftseilbahn
Adelboden Geils (Luegli),605.76,145,1707,Luftseilbahn
Adelboden Oey (Sillerenbahn),609.351,148.515,1264,Luftseilbahn
"Adelboden, Altersheim",609.809,149.597,1343,Bus
"Adelboden, Ausserschwand Schul",610.389,150.428,1316,Bus
"Adelboden, Bergläger",607.263,146.388,1486,Bus
"Adelboden, Boden Wendeplatz",609.226,147.84,1296,Bus
"Adelboden, Bollersgraben",609.294,147.4,1299,Bus
"Adelboden, Brügge",609.496,147.227,1299,Bus
"Adelboden, Chäli",609.512,145.512,1370,Bus
"Adelboden, Dorf Sillerenbahn",608.987,148.777,1356,Bus
"Adelboden, Dürrenegge",609.625,148.517,1257,Bus
"Adelboden, Falkiport",609.458,148.13,1288,Bus
"Adelboden, Geils",605.745,145.083,1707,Bus
"Adelboden, Gilbach, des Alpes",607.708,147.575,1433,Bus
"Adelboden, Gulli",607.076,148.614,1475,Bus
"Adelboden, Heinrichseggen",608.741,148.464,1370,Bus
"Adelboden, Hirschen",611.031,150.411,1166,Bus
"Adelboden, Hirzboden",611.21,151.14,1169,Bus
"Adelboden, Hotel Alpina",609.839,148.15,1280,Bus
"Adelboden, Janz Team",609.893,149.706,1340,Bus
"Adelboden, Jugendh. Heilsarmee",607.796,148.259,1447,Bus
"Adelboden, Kreuzgasse",609.427,147.79,1295,Bus
"Adelboden, Margeli",610.205,149.489,1205,Bus
"Adelboden, Mineralquelle",609.32,148.61,1282,Bus
"Adelboden, Mühleport",609.466,148.835,1300,Bus
"Adelboden, Neuweg",610.561,149.991,1180,Bus
"Adelboden, Oey",609.77,148.79,1250,Bus
"Adelboden, Post",609.34,149.16,1356,Bus
"Adelboden, Rainweg",610.309,150.291,1328,Bus
"Adelboden, Raufmatte",609.49,146.583,1321,Bus
"Adelboden, Schermtanne",606.739,148.674,1489,Bus
"Adelboden, Schlegeli Crystal",609.596,149.31,1349,Bus
"Adelboden, Schlegeli Hari",609.766,149.473,1344,Bus
"Adelboden, Schreiner Bärtschi",607.342,148.455,1458,Bus
"Adelboden, Schönbühl",610.148,150.04,1333,Bus
"Adelboden, Unter dem Birg",609.834,145.335,1406,Bus
"Adelboden, Unter der Fluh",608.27,148.138,1367,Bus
"Adelboden, Wegscheide",608.559,148.339,1380,Bus
"Adelboden, Zürcherhaus",607.594,148.402,1454,Bus
"Adelhausen, Adler",624.27,273.493,452,Bus
"Adelhausen, Dinkelberger Hof",624.234,273.669,452,Bus
"Adelhausen, Hüsingerstrasse",624.294,273.957,449,Bus
"Adetswil, Frowiesstrasse",706.216,244.022,696,Bus
"Adetswil, Sunneberg",705.978,244.077,735,Bus
"Adligenswil, Blatte",670.567,213.678,542,Bus
"Adligenswil, Chliäbnet",671.579,214.031,547,Bus
"Adligenswil, Dorf",670.275,213.687,537,Bus
"Adligenswil, Gämpi",670.255,213.298,550,Bus
"Adligenswil, Luegisland",669.71,212.941,532,Bus
"Adligenswil, Rigiblick",670.18,213.159,550,Bus
"Adligenswil, Sagi",671.367,213.749,535,Bus
"Adligenswil, Stuben",669.238,213.916,533,Bus
"Adligenswil, Talrain",670.017,212.996,539,Bus
"Adligenswil, Widspüel",669.975,214.025,540,Bus
Adlikon b. Andelfingen,694.33,270.969,450,Bus
"Adlikon b. R., Dorf",677.519,255.771,440,Bus
"Adlikon b. R., Leematten",677.557,256.263,451,Bus
"Adlikon b. R., Pächterried",677.792,255.523,436,Bus
"Adlikon b. R., Sonnhalde",677.192,256.194,443,Bus
"Adlikon b. R., Sonnhalde West",676.942,256.335,443,Bus
"Adlikon b. R., Ziegelhütte",677.483,256.268,443,Bus
Adliswil,682.079,240.726,452,Zug
Adliswil (Luftseilbahnstation),681.767,240.818,452,Luftseilbahn
"Adliswil, Ahornweg",682.842,241.458,479,Bus
"Adliswil, Badstrasse",682.764,240.885,457,Bus
"Adliswil, Bahnhof",682.101,240.685,451,Bus
"Adliswil, Baldernstrasse",681.42,241.648,487,Bus
"Adliswil, Baumgartenweg",682.204,240.437,450,Bus
"Adliswil, Bodenacker",681.564,241.183,496,Bus
"Adliswil, Büchel",681.941,239.492,496,Bus
"Adliswil, Eichenweg",682.787,241.592,475,Bus
"Adliswil, Feldblumenstrasse",681.698,240.975,493,Bus
"Adliswil, Friedhof",682.501,240.129,502,Bus
"Adliswil, Grüt",682.424,241.822,467,Bus
